"","distabbv","land.area"
"1","AL-01",6066.83
"2","AL-02",10141.63
"3","AL-03",7543.86
"4","AL-04",8888.77
"5","AL-05",3677.31
"6","AL-06",4170.78
"7","AL-07",10156.13
"8","AZ-01",55039.61
"9","AZ-02",7838.12
"10","AZ-03",15688.79
"11","AZ-04",33199.45
"12","AZ-05",293.47
"13","AZ-06",625.07
"14","AZ-07",205.12
"15","AZ-08",539.66
"16","AZ-09",164.79
"17","AR-01",19318.29
"18","AR-02",4978.12
"19","AR-03",5400.99
"20","AR-04",22338.08
"21","CA-01",28089.47
"22","CA-02",12952.23
"23","CA-03",6183.59
"24","CA-04",12836.2
"25","CA-05",1730.82
"26","CA-06",175.04
"27","CA-07",548.65
"28","CA-08",32867.21
"29","CA-09",1245.28
"30","CA-10",1818.79
"31","CA-11",493.61
"32","CA-12",38.97
"33","CA-13",96.79
"34","CA-14",259.5
"35","CA-15",599.45
"36","CA-16",2839.51
"37","CA-17",184.85
"38","CA-18",696.12
"39","CA-19",915.34
"40","CA-20",4874.22
"41","CA-21",6729.94
"42","CA-22",1165.12
"43","CA-23",9898
"44","CA-24",6883.35
"45","CA-25",1690.5
"46","CA-26",939.12
"47","CA-27",699.9
"48","CA-28",218.45
"49","CA-29",92.03
"50","CA-30",135.94
"51","CA-31",218.24
"52","CA-32",124.23
"53","CA-33",288.58
"54","CA-34",47.66
"55","CA-35",168.88
"56","CA-36",5912.64
"57","CA-37",55.26
"58","CA-38",101.46
"59","CA-39",204.4
"60","CA-40",57.69
"61","CA-41",316.54
"62","CA-42",935.96
"63","CA-43",72.03
"64","CA-44",79.36
"65","CA-45",330.39
"66","CA-46",71.72
"67","CA-47",216.21
"68","CA-48",145.47
"69","CA-49",553.08
"70","CA-50",2787.35
"71","CA-51",4791.61
"72","CA-52",267
"73","CA-53",135.43
"74","CO-01",189.62
"75","CO-02",7535.34
"76","CO-03",49731.77
"77","CO-04",38102.67
"78","CO-05",7265.72
"79","CO-06",474.66
"80","CO-07",342.11
"81","CT-01",675.45
"82","CT-02",1987.68
"83","CT-03",470.34
"84","CT-04",460.73
"85","CT-05",1248.16
"86","FL-01",4016.3
"87","FL-02",11002.06
"88","FL-03",3560.21
"89","FL-04",1569.15
"90","FL-05",3817.45
"91","FL-06",2171.24
"92","FL-07",392.67
"93","FL-08",1752.06
"94","FL-09",2313.12
"95","FL-10",436.46
"96","FL-11",2386.23
"97","FL-12",858.62
"98","FL-13",181.74
"99","FL-14",275.75
"100","FL-15",1087.32
"101","FL-16",1293.24
"102","FL-17",5571.56
"103","FL-18",1512.84
"104","FL-19",750.37
"105","FL-20",2160.92
"106","FL-21",256.85
"107","FL-22",167.31
"108","FL-23",190.26
"109","FL-24",102.33
"110","FL-25",3500.99
"111","FL-26",2184.68
"112","FL-27",113.02
"113","GA-01",7982.81
"114","GA-02",9626.23
"115","GA-03",3838.27
"116","GA-04",496.6
"117","GA-05",264.91
"118","GA-06",298.76
"119","GA-07",392.61
"120","GA-08",8711.64
"121","GA-09",5210.81
"122","GA-10",7096.22
"123","GA-11",1071.25
"124","GA-12",8185.27
"125","GA-13",714.95
"126","GA-14",3623.16
"127","HI-01",209.22
"128","HI-02",6213.4
"129","ID-01",39418.02
"130","ID-02",43225.09
"131","IL-01",258.38
"132","IL-02",1080.67
"133","IL-03",237.18
"134","IL-04",52.45
"135","IL-05",95.71
"136","IL-06",378.78
"137","IL-07",62.52
"138","IL-08",205.52
"139","IL-09",105.35
"140","IL-10",299.78
"141","IL-11",280.95
"142","IL-12",5008.21
"143","IL-13",5793.65
"144","IL-14",1597.6
"145","IL-15",14695.67
"146","IL-16",7917.49
"147","IL-17",6933.08
"148","IL-18",10515.95
"149","IN-01",1157.02
"150","IN-02",3958.58
"151","IN-03",4180.37
"152","IN-04",6352.55
"153","IN-05",1924.76
"154","IN-06",6206.83
"155","IN-07",303.84
"156","IN-08",7255.39
"157","IN-09",4486.77
"158","IA-01",12048.84
"159","IA-02",12261.92
"160","IA-03",8789.62
"161","IA-04",22756.75
"162","KS-01",52542.5
"163","KS-02",14143.34
"164","KS-03",757.2
"165","KS-04",14315.68
"166","KY-01",12079.5
"167","KY-02",7177.44
"168","KY-03",319.34
"169","KY-04",4382.19
"170","KY-05",11235.15
"171","KY-06",4292.72
"172","LA-01",4030.23
"173","LA-02",1268.48
"174","LA-03",6983.32
"175","LA-04",12435.1
"176","LA-05",14452.88
"177","LA-06",4033.89
"178","ME-01",3285.52
"179","ME-02",27557.4
"180","MD-01",3977.06
"181","MD-02",348.88
"182","MD-03",304.14
"183","MD-04",297.81
"184","MD-05",1481.24
"185","MD-06",1950.26
"186","MD-07",488.03
"187","MD-08",859.85
"188","MA-01",2350.29
"189","MA-02",1628
"190","MA-03",757.86
"191","MA-04",668.27
"192","MA-05",265.08
"193","MA-06",526.79
"194","MA-07",62.67
"195","MA-08",326.37
"196","MA-09",1214.74
"197","MI-01",25027.75
"198","MI-02",3281.19
"199","MI-03",2628.74
"200","MI-04",8457.8
"201","MI-05",2348.7
"202","MI-06",3546.74
"203","MI-07",4227.73
"204","MI-08",1503.18
"205","MI-09",183.59
"206","MI-10",4140.44
"207","MI-11",419.26
"208","MI-12",403.21
"209","MI-13",184.85
"210","MI-14",185.73
"211","MN-01",11973.99
"212","MN-02",2437.91
"213","MN-03",527.05
"214","MN-04",332.49
"215","MN-05",135.66
"216","MN-06",2882.27
"217","MN-07",33429.25
"218","MN-08",27908.13
"219","MS-01",10572.8
"220","MS-02",15551.51
"221","MS-03",12754.48
"222","MS-04",8044.48
"223","MO-01",225.36
"224","MO-02",465.76
"225","MO-03",6851.54
"226","MO-04",14401.38
"227","MO-05",2424.85
"228","MO-06",18198.62
"229","MO-07",6272.84
"230","MO-08",19901.17
"231","NE-01",8879.02
"232","NE-02",509.74
"233","NE-03",67435.41
"234","NV-01",104.5
"235","NV-02",55829.71
"236","NV-03",2848.99
"237","NV-04",50997.97
"238","NH-01",2463.65
"239","NH-02",6489
"240","NJ-01",350.02
"241","NJ-02",2092.43
"242","NJ-03",899.7
"243","NJ-04",691.88
"244","NJ-05",991.3
"245","NJ-06",215.55
"246","NJ-07",970.19
"247","NJ-08",54.69
"248","NJ-09",95.34
"249","NJ-10",75.92
"250","NJ-11",504.97
"251","NJ-12",412.23
"252","NM-01",4600.14
"253","NM-02",71739.49
"254","NM-03",44958.52
"255","NY-01",650.02
"256","NY-02",182.01
"257","NY-03",254.92
"258","NY-04",110.85
"259","NY-05",51.88
"260","NY-06",29.78
"261","NY-07",16.16
"262","NY-08",29.66
"263","NY-09",15.54
"264","NY-10",14.25
"265","NY-11",65.83
"266","NY-12",14.79
"267","NY-13",10.25
"268","NY-14",28.29
"269","NY-15",14.54
"270","NY-16",78.37
"271","NY-17",382.63
"272","NY-18",1353.42
"273","NY-19",7937.02
"274","NY-20",1231.28
"275","NY-21",15114.76
"276","NY-22",5077.45
"277","NY-23",7371.65
"278","NY-24",2388.56
"279","NY-25",510.19
"280","NY-26",219.13
"281","NY-27",3973.13
"282","NC-01",5877.96
"283","NC-02",2698.38
"284","NC-03",7212.52
"285","NC-04",732.61
"286","NC-05",3968.95
"287","NC-06",3911.32
"288","NC-07",5940.29
"289","NC-08",2954.88
"290","NC-09",3873.97
"291","NC-10",2588.73
"292","NC-11",6606.27
"293","NC-12",420.33
"294","NC-13",1831.7
"295","OH-01",686.96
"296","OH-02",3221.62
"297","OH-03",228
"298","OH-04",4664.87
"299","OH-05",5626.47
"300","OH-06",7215.03
"301","OH-07",3864.76
"302","OH-08",2450.49
"303","OH-09",464.65
"304","OH-10",1129.76
"305","OH-11",244.46
"306","OH-12",2271.91
"307","OH-13",894.3
"308","OH-14",1953.14
"309","OH-15",4738.93
"310","OH-16",1205.34
"311","OK-01",1631.67
"312","OK-02",20995.35
"313","OK-03",34116.73
"314","OK-04",9777.28
"315","OK-05",2073.9
"316","OR-01",3007
"317","OR-02",69442.78
"318","OR-03",1074.46
"319","OR-04",17274.04
"320","OR-05",5189.73
"321","PA-01",77.91
"322","PA-02",74.14
"323","PA-03",3850.8
"324","PA-04",1517.84
"325","PA-05",10711.21
"326","PA-06",860.47
"327","PA-07",862.56
"328","PA-08",706.93
"329","PA-09",5730.09
"330","PA-10",8378.06
"331","PA-11",3356.48
"332","PA-12",2163.03
"333","PA-13",155.18
"334","PA-14",209.29
"335","PA-15",1285.03
"336","PA-16",997.68
"337","PA-17",1733.22
"338","PA-18",2072.79
"339","RI-01",268.49
"340","RI-02",765.32
"341","SC-01",1547.86
"342","SC-02",3022.17
"343","SC-03",5268.28
"344","SC-04",1299.3
"345","SC-05",5505.54
"346","SC-06",8062.93
"347","SC-07",5354.62
"348","TN-01",4141.92
"349","TN-02",2320.68
"350","TN-03",4570.32
"351","TN-04",5984.84
"352","TN-05",1248.57
"353","TN-06",6474.21
"354","TN-07",9160.44
"355","TN-08",6850.53
"356","TN-09",483.39
"357","TX-01",7858.86
"358","TX-02",308.75
"359","TX-03",480.88
"360","TX-04",10122.99
"361","TX-05",5043.85
"362","TX-06",2148.41
"363","TX-07",161.94
"364","TX-08",6053.76
"365","TX-09",165.64
"366","TX-10",5070.95
"367","TX-11",27832.17
"368","TX-12",1441.16
"369","TX-13",38349.24
"370","TX-14",2441.39
"371","TX-15",7804.07
"372","TX-16",710.35
"373","TX-17",7651.16
"374","TX-18",235.2
"375","TX-19",25835.59
"376","TX-20",199.68
"377","TX-21",5920.89
"378","TX-22",1032.84
"379","TX-23",58059.18
"380","TX-24",262.76
"381","TX-25",7620.7
"382","TX-26",907.15
"383","TX-27",9128.25
"384","TX-28",9378.53
"385","TX-29",187.07
"386","TX-30",356.27
"387","TX-31",2154.49
"388","TX-32",185.66
"389","TX-33",211.94
"390","TX-34",8190.32
"391","TX-35",593.77
"392","TX-36",7125.83
"393","UT-01",19560.79
"394","UT-02",39987.95
"395","UT-03",20070.54
"396","UT-04",2550.35
"397","VA-01",4212.05
"398","VA-02",1108.8
"399","VA-03",626.51
"400","VA-04",3643.93
"401","VA-05",10029.79
"402","VA-06",5930.02
"403","VA-07",3118.54
"404","VA-08",149.24
"405","VA-09",9113.87
"406","VA-10",1372.24
"407","VA-11",185.09
"408","WA-01",6186.47
"409","WA-02",1015.02
"410","WA-03",9114.01
"411","WA-04",19250.22
"412","WA-05",15473.13
"413","WA-06",6902.73
"414","WA-07",144.13
"415","WA-08",7359.7
"416","WA-09",183.43
"417","WA-10",826.67
"418","WV-01",6275.56
"419","WV-02",8017.31
"420","WV-03",9745.33
"421","WI-01",1727.92
"422","WI-02",4536.69
"423","WI-03",11111.79
"424","WI-04",128.35
"425","WI-05",1890.75
"426","WI-06",4918.39
"427","WI-07",23037.26
"428","WI-08",6806.67
"2100","AK-AL",570641
"810","DE-AL",1949
"2710","MT-AL",145546
"3510","ND-AL",69001
"429","SD-AL",75811
"461","VT-AL",9217
"511","WY-AL",97093
